index,txkey,locdt,loctm,chid,cano,contp,etymd,mchno,acqic,mcc,conam,ecfg,insfg,iterm,bnsfg,flam1,stocn,scity,stscd,ovrlt,flbmk,hcefg,csmcu,csmam,flg_3dsmk,label
10,57fedab62b6ac4cf3068d6a3157515f4147fccc461b3039a8e5561a2169cba8d,36,131743,8714ea78de58adf1d312b9da8ee5b416e3f2ae3480ff9ea47aa9a904e5e10985,ea07907f19e54442ae03e81f8f26d53e7912e25516c5d36cb7ced970a4c9d02c,5,,92cf741de2e1cf4b332c435024eacf4f99e6a9335026ec70d9dae2305faddbe0,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,276,435.8188004,1,0,,0,501.8263373,,15759,,0,0,,,344.646134,0,0
11,,37,93107,,e5636c1e53ab84500f0a7632b47d35bb4dd05a1f4693b5f5b874971fea304e3c,5,5,75a558c50ce3a8bae9173f3926da060c9fad1f6e2ce1995737f5ae1f4be536a7,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,,1071.117531,1,0,0,0,1276.603069,0,15759,,0,0,6,70,985.0977458,0,0
12,cb1b5446d497e34400cfec96b323695702e1259e1653e3524af780a41c890e84,15,103546,1ab91d7e6ea0de51a9d25d750909e0624de6a18ea22a0a524ac5453bbd6cf7e9,b885b2674816d67b26b5b7f73b5590f3c8aea638cad4a6075205eddbc024ba20,5,5,22193f850349edb1622ad2960fffcd71c3730520d7170098339d132f8d3e4cf8,c1dcb0c860593c993c9ee972ebd12e3e714969f53342c3eb5714b4e2a73c64ed,,1495.323403,1,0,0,,1182.537672,0,15759,,0,0,6,70,,0,0
13,34b1361601396bc92b57a616a51d7d14be47cd4e7d816026f74b57933f629f99,22,141145,b773caa1541cb4163e73e07696cd54c1a1ef5b18dee8c8b4673948cc4b557470,870117818b5e867d7766badd320c25c631f29afd41cd56f8a6faf7a507bd9b83,5,,2ae0697925420ed5fd372d506106859f5e6feb44ef8715805d5def8a3458adde,bcf6370b700fb26d1fab05dad5de442b2bf37689cb55fd5fefcc78f2ebb16ec3,314,637.4892416,1,0,0,0,954.6444668,0,15759,,0,0,6,,1017.028724,1,0
14,eb9af1b7bd1eb043c79b3d16f438cd6673df619182ebaa8829c99364b896eeed,,111116,56bf4f6417c6e35e993181ed4cbff7373a64b4652552f5b67d088f54af4aab8e,60e4af3529d94d63b3d29b05e38ecfac3e9254a9bcee5b5c271b474105bb921a,5,5,f9a8105f143a221e62dc809b3cc00c92ff575151456b9bead9ffb4bf9cfeeb4c,3842c045d63b26be94568aa259a10c2ac97b6bf89e76ce195a3a9146354d01e6,,189.8581179,1,0,,0,587.5726498,31,10968,,0,,6,70,326.126274,0,0
15,238cd1fcf6bc50085fc4aa9b5d138c5b496c2dadaec88542c791bcc2f21a3185,29,85859,45747bd29de2d793843fa58d65dc188ce0e40161e16bb6022ae9b7e692989393,d03192058e474115b716b6093e3d7baf5ce69f9ee37a6c42ba44dfa7eb6e0a15,5,1,dd280b4f35a02701142ba7de47abb9736deca3eed86474b185ce1d9ee024e607,60d5020e9b88125cfcbd99793e821331d6e0271897705b1441a6b5e3680d854f,320,277.1006195,,0,0,0,574.9577855,0,6469,,0,0,0,70,552.7333294,0,0
16,fc4ae725e3442835b9e38bb15e17aada648deab713b8e2d67756cbc2d42c7eaf,9,90351,f12779ded85a86c62a838092f2fe181caef55aca0b77ebf29ef71075a1be1e97,c81922311e2ba1da9e59c68d4e3c7348f3bc3588ad85f1280c3e0b28ac6ad910,5,3,b54838cee852234035b7eaf160ccaec5be9be9659adcbc5c5a2337b6ef552351,,225,1562.900764,0,0,0,0,1408.052141,0,15759,,0,0,6,70,,0,0
17,91ae75e7200ecc623cbd1feb63f199287eacad853e917efe66d270264a78e5df,45,175502,d814ce4b8edffe2a2773585778cdcaab8e4ed0d334f71d77868f4e0162818599,6e16f187aea2b6309e511c070ab0ed11d2a632a17006cc6cae3aac4022891400,5,4,c705d4e22b0ee475201512cfda241f34bec6287cab4e01be07d62d7374de8278,bcf6370b700fb26d1fab05dad5de442b2bf37689cb55fd5fefcc78f2ebb16ec3,327,822.7465248,0,0,0,0,978.9887157,0,15759,,0,0,,,1054.587889,0,0
18,2937c0e83a657c52505fd31ef8eb5d196ded929887b589acc64f392d2936df29,36,202333,,d8e074034293573a401cc8edc65a9d59881dd8800e00065c99e3948810aed5ca,,5,75a558c50ce3a8bae9173f3926da060c9fad1f6e2ce1995737f5ae1f4be536a7,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,276,919.5651179,1,0,0,0,829.7682153,,15759,,0,,6,70,,0,0
19,a63a8aeb64339c59d038b7f8170470d399a2d8d63bbe70a399cb42eeca182802,5,233005,2cad5564f757ab3f8465356d6b6a124a1aa17d557dce44e4e32c12ca508210ba,85373e8cdd332587561d2fd018e5689d5c9bc3fba10a42e9744a873f37b75aa0,5,1,c3c9ade4883a694a66eb2c4d266b160481043f9999a9f9d741215123032f5e03,89b1654aaef0b65b1868004cfdce2dcbb67f15b7fba5359729a4ef4dde82486b,341,26465.29969,,0,0,0,26388.41505,126,15451,1,0,0,6,68,1381.782994,0,1
20,b88218488a6415083becf53f5648043f5448477a76dbc1039530a22c935675d9,40,101533,0cf940c7cf79bc8104d2cd447a45bbafd0b2aaa4c3fae89524267348ca562bb1,0b88e1e29a374274acf6efe2bef47134444392d6946fb4bec33a42e1215462e0,5,,373dc7c5114e54cf2f08472601af87355c831de0e1743c59cc4ed4d454aab34b,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,282,299.2189935,0,0,0,0,59.93585991,0,,,0,0,,70,338.2383768,0,0
21,85036892115b46322376beeeb602bc70528477deab69911690851c21d49b8061,41,165826,8e6f2ee52b793ab7604d25d4c036a38b847285265b8d1086c676c787845bb627,fedab663757140e51320c4e580ac7e7e2bca5102a7a5e5c18a415ca3e78bb5a2,5,4,b37aa5da7f88c12c304e3866960894e2eb2e29e3398755698dab0dd9320611a3,2a608b081c09492bd2bc96d7def5371c4bc9cabf324a987defa5a213904a6c25,303,807.8422553,0,0,,0,1018.873902,0,,,0,,6,70,559.2928781,0,0
22,6c0811e5589a00097d0a66188a4475e030d1c83439404318c6e9620b6ae47ab5,7,112711,,87b5c1ccb084b3bada6312d551ed48fac5f2e8d743bf9498cff9c005849bd3d7,5,5,f8bccd250b49875979ed1963b1b48c44906d7ee79a5e01e5486223f90f1c2d91,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,473,183.3701862,1,0,,0,-178.7005969,0,15759,,0,0,6,70,,0,0
23,3e57a420fd73ba8a3790bd66b51278d9132d624a3e443b3b2c8a05796a089c71,8,121224,f123ce326de9493346f186409da239edfe0787a7244937a5076681c18d3ff559,,5,,3026be6083a03976ca463f32e60376c4846f25266e635bd0c76c997551dd7c83,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,317,-114.2608169,1,0,0,0,230.7221572,,,,0,0,6,,,1,0
24,,18,115826,c7242d46afa24052fbb1371f3e0147037785c39444d9568be9f4c8c6c2d2ca22,b019d33492255bd4021b5e0d0e3205c76a718caa6687efc45b67a07c9e41ae98,4,1,,85344a2ec12c5dadf7c2e5fce189cf616032f77179083711258d7b22daabd847,231,-55.84846672,0,0,0,0,-32.73364521,0,16117,,0,0,6,70,134.2673914,0,0
25,84ca86850765dbadd1f90475ae09312d4c1ca93e12a63e0b828b3e03bd932ef5,12,174024,,8199cc5fac2dac2141ea83b4a7dc7e6e3366ccceacaa7eceea4808258474e2da,,8,45b6cb170af96950ffd009b6275bb22f5f5b052687d2379ecfa65f72b079a97c,c6a68a6677409cd8b8e909a2b2766ed5f26668e98626314b558fa72276495fdc,406,517.9626589,1,0,0,0,517.2151515,126,10300,,0,0,6,70,173.2877253,0,1
26,,16,1621,a4522bc91ff72861e0e4d9f46c6e6a00ea851351abaedd6172a2d398accf78f3,05421634a0925753c3264d0be75b1edb195719b0164e36f6fe15d9fbaca551e3,5,5,ec9bd8c60aa36bee2f09cd55f8a67981c68c21e2e61d5226efd9294ed4a34c5a,fd041cc8461d4dff136911134d49156bc307ffe8429059729c211612573ad456,,78.31849149,1,0,,0,454.3654408,54,4625,,0,0,6,70,-384.0000824,0,0
27,3ae2390aa5440b062eea7a04a0d6282fbe28544d7cf107f2f1301a14059ff3e4,40,,3410998351e134e22ca651e5e39c726261982625fdab86dcfdf2c81cf421a019,,5,4,d3d3342ab5454cf28cbac9ae75fa34a0614ab088c9c96394b9a3cd9904adce70,bf40b8e9acd93d0973755d5349280830769003c7e57a20b3b17db5cd44c99efa,320,635.4733565,0,0,0,,758.0840934,0,,,0,0,0,70,314.6783151,,0
28,ab1a88021146217d7bbcff384edecf0179d4bf170d678eab29bbb3de4b5408db,5,71555,7af4fccc49b8c8f43a22daa17c59d82b01c9d0641c572e3c3c72cfa343147441,c0954d751f08bd75e895899ffecd43d36c7096bce951be0528bdf33f0d743807,5,5,6abf1a0e0d2a9bef8b4acddeee48b179bc05ecbdf19b2cf70741f9fc11a770c0,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,473,479.9710137,1,,0,0,53.23564397,,15759,,0,,6,,395.838589,0,0
29,c7bc34ae049c80beea116e8dfa43a6382bb0bf1f55d02a758cc3874b8e1d08b1,36,101302,3057072000815189d13a8fbd3efea09502b2084f7ae4f854e9b46a932e308c98,7eb11a3092618d2ce47cf982f512a3a5cf8a520675adfdd31ab737bac7db925c,5,5,bb7a4d0172198ec0babadfb60375755d66543372e4c1a1f7c2bb2e045401d41f,ec6ecd6f120c757bbddba5722c6129df995f4f1a2b500df22ddd02f64291c18b,323,559.50718,1,0,0,,-5.668224335,54,11170,,0,0,6,70,363.7895344,0,1
30,,10,110656,9a341c7c82e27993e5f8b0decb3dc6e5419b3c1ae8838a5f23f3bc64666cad01,0987d5b96658e702dcc0800ca42bc3f4e0103f9111afe87e5d09bf10ff104cb2,5,8,1c470a8593fd447c29b484b9c3b4322977979eb25fe4c6208ee5a9a08a493536,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,215,639.6535415,,0,0,0,345.4298357,0,15759,,0,0,6,70,509.8660325,1,0
31,28f801600a2f672a3cc0caf57b11a41c2a311d497c5919bdd7e968e1754c195c,8,5817,5ead7a744cf1889360ba294eaae8b8ed0087acf057f83acb31c350689e357877,,,,45b6cb170af96950ffd009b6275bb22f5f5b052687d2379ecfa65f72b079a97c,,326,,1,0,0,0,3424.311046,126,10300,1,0,0,6,70,3114.500618,0,1
32,d6a88e61a90218ba0475a49a8e550b985ae769387699a4fe901bc32584e391bf,14,90227,,,5,8,45b6cb170af96950ffd009b6275bb22f5f5b052687d2379ecfa65f72b079a97c,,,2979.776636,1,0,,0,3066.65193,126,10300,,0,0,,70,2872.987487,0,1
33,36459130d731b48fa343d0b9d7e0d0ab8a46c20f63b8ceb684bfc8c2a4426734,,151118,,04c07d2bd2602b8e5c1813bcdd5d4be6e8369aff639a28fea1535128cf6959a3,5,,42f6757dc8310bba80c6dc0010950dfe10d2bed89aabd3a6df6f98013a3ad64b,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,276,587.084811,0,0,0,0,92.26698607,0,10881,,0,0,6,70,242.0345311,0,0
34,271b9d1890ea3e0ec2fbaef9507501b8d19c529e88c3d7450a50228a5bc31490,35,173624,73f8f671851959bea4681542edd991c82c893ec34d071ad0e7efe45025191162,3bd44e6c64852fee569ed832bddc0d2f67a5761090b26c621105384e66e297bd,5,,ea2f2f9e85b8782f8493dfeef7dd3cfa6f9d107e70b9873349125cbf9a003925,8ccfdd7858e90e854599488e0f7453996a6268788bf36983ec81e10bc147f826,,539.7269228,0,0,0,0,707.8012088,,,,0,0,6,,50631.55044,0,0
35,1c9c3cdfcb8d17cdc1fde51f276feb8f0d3a0d1bf25281ac4446eb3b3454540b,16,92813,f8c737e21953cb2557435741b018555ef5fc8f46b8b2d4aae1cc01d5e18ab23d,e7d243270503a3de71ee710128c442f2f0e989a837d5c183d39bcc76afc8e947,5,5,e8d98e44151198526e079fdcc7f44c1e16be6f1fc2fb96880288e14d650b3f14,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,276,149.0673706,1,0,0,0,-137.1168639,0,15759,,0,0,6,,411.4983241,0,0
36,9876653a9dbcf21e675fd4e36692aab017f61076e05572f4cf6099fe6b3ac48b,8,205139,b3c991b73aa8dfed3c0d52330827b417edc8b6a17ebe5a4cbeb74af3ca8ad084,d877befc9027a2f601c0094b5b11af579affb437e8336af54417c56cb8282ead,5,4,9247ad257611cf73dd49023c6721f770260cb71390192ae70bf87b1c03966cba,,320,1611.619687,0,0,,0,1080.319961,0,15742,,0,0,9,70,1266.635119,0,0
37,850922b94a7b4ae56b022da707347ec6c5ea9a0874c35900c98fdfb0db8bc73a,15,140155,02c7e61c47fc546c6451f13dde692b06358beec08b154b4280469a830086f168,,5,1,e56b8ae1bf03a766003a1f2d681dd446eb4a04c6d8e97debbc038f913e4fccf0,,215,,1,,0,0,2834.574525,0,15759,,0,0,6,70,3431.26448,1,0
38,e0f540e28ece678d8683a938c6a1cf7c4b6b3ad10335ec1a007aa5e6cb2cfca8,,130853,c511e8ed6639b09b5fe98076ee553b8085767f2b998c90c10a96648b5c611670,ba4fab7c9520ee352632996709a00c1338cacabe61ca8ce6539f023edd42069c,5,8,,,217,-26.41198011,1,0,0,0,212.3857686,0,16115,,0,0,6,70,48.64435482,0,0
39,bcb2a5789b2617b25ddf95efcc90eba454ca2cdbdf26adb7718f29f447f3f326,15,195618,af56ccd5f2c649253fc1158c6ee4b667a4306334f9af5c3386a8246e4bb5fd7e,a4b3f01468dd35aa13b4b35f81d7f1b7bb8a875e9181bfb09ce17156f768972f,5,3,aa3de4d8c51f0d9532371209acea043fbdbd7b58f8c3a95a814f272a51435512,,231,389.0856097,0,0,0,0,303.7121797,0,15759,,0,0,6,70,405.2477415,0,0
40,120d6492008e7f71970fa4919b2646e60c6a32c7642f8b3946f37e6eb0e3bbb2,,191256,6b6ec2bb96c641bd894f3734bf2db1bc71d44aaaf7b7c73c15fbc77588c3730b,,5,4,1a99ee07618171f2f8304cbdf2010e3f8124eb06f1a1eb2f75848ac39be572c6,5c3b8aec58d5c0780ef9c4cdecc24282178edb2faa8e29feef5236756cf88ae9,320,1487.257606,0,0,0,0,1769.510127,0,15808,,0,0,6,,1791.813156,0,0
41,,,172314,bc4bf369fe1ee88cfc3ba4d1d2f5042b5c97cc131c51a6faa7ec771da93a906e,7352608a070193db9e44c1c3a5e050d479440760f6456bac299267bc7a9558bd,5,4,a296be9366b65aa97b34de8eee366b4a2431a2af60ea25775fa8db2a6e27de73,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,335,2115.951214,0,,0,0,2038.487644,0,15759,,,0,0,70,2264.252508,0,0
42,dff40996be2528887fe3df67e1de99a2d1a6f3cb7bf779dbdd90f8ad7dfbaf18,12,183848,,30f52f56687763df5a7c9aa81040754383ac6550b8e26958621269ee6005b8f1,,4,10b56521bc05b017d3c727ba2bd3a32ff168849309d9b9e3601da6575b1505eb,2a608b081c09492bd2bc96d7def5371c4bc9cabf324a987defa5a213904a6c25,,,0,0,,0,540.7345585,0,,,,0,6,70,408.7612176,0,0
43,4dd79c401d29f20e3d177a7ce17db9ae7f108af859ace53ba026825c3a5f38cd,,93923,e53ef76d6f9b3911fe1f59650a06f5ef54773f187dc1c548607a267c4835d463,b166b304b5218f2d06decc2f645d7534de307158eb3aeac2412113678f4ecfb4,5,5,cb41c067b1c4cc49b7ab8026104e7a08618571f17281ec677e3b42d778994ae6,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,227,-27.4725645,1,,0,0,,0,16115,,0,0,,,185.5513281,0,0
44,2d319826a0660d5fbdeb799a9932d43b9e18429693a7ae075e514abf9035da01,28,140211,7546a798404b606dd34a2db3aa3024d47b30ddb1087d2886e304d7de8a4811bf,,5,1,36a6bffa28a07bfc37b0cba85d912beed1d63a8681722072215965027250b0ff,,397,-18.77693334,0,,0,0,,61,15955,,0,0,6,29,329.1677362,0,0
45,3518793840cb2c8125b59557f21449b9a21032c979dbdde1424e5c7466b774d6,19,,5b3f42e81af03e91c32e35ebc4db717f32471f5f435ccd21a6c04dbaf71c0531,f925a82c11cefd95244d904d87838870de7c9c958de06ce15d6b1daf01d954e4,5,5,30004ce87386938fc668cb3a227303f126734de8627935216b644411cdf253fb,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,,-229.9343085,1,0,,0,,0,15759,,0,0,,70,-128.1491906,0,0
46,89108f672d915b8b522f7abd98b3625824dcb41c3a1d27f192a1f700475151e1,41,150857,826b0e525d803200927246bc116aad5fe81bce8b9c92f4f680eec0732a32d2b6,48dd4bb3b31f15ab22339a9e4425b7b30331babea92e69ccd50c91c57961a33f,5,,,,282,128.8389138,0,0,,0,72.86360897,0,15759,,0,0,6,70,106.6220242,0,0
47,e9f3031d17535e607777f5728013f24662035dc23cf1a5e44e2fea3ddf414c5f,10,102828,8ef9e6fa14b855d7889f32fb62ba4ba161967fc4a0adc48eb559199a56436281,5fa73c41bb56e5d24949f9cb61506e11aa8954a1186345899616afde91cee42b,5,,83ca89ecd2519c853113d0119538c9ea5589f24b28be3e474c9363b0c29ff6d9,9910ce263d02309ae9759976a5480a0cb438bd78f9238b0a8884b146586e99d4,473,83891.75907,1,0,0,0,83483.10177,100,13792,1,0,0,,53,153001.5959,1,1
48,eecb56c50be1b954db95f736032802ebd597e9bd8191059c77bc79e0bfbd4c37,,164453,72cbd3f0155be62443eadb9b2169c576f6d416fd3ed8e2af519b6ae7ff15cf5d,f7ac1e446db426e02dc7cdcb31e02f61a9520cbab688b436cfefe42227349982,5,5,48675480a5edda3511920982ec3ae71f242231c2a3badbb7ddbcdeab4d682d7b,46f63555d29f177290dfe20e989146fb033e453f1d5ff3f27a7fd3741fb17484,320,474.6298434,1,0,0,0,564.332857,0,16115,,,,6,70,440.3377544,0,0
49,,28,122229,83c97900084e33912b033f21aa58fe74f76be2e35bb2d27761fae10c8b380a4b,23106ce1ed9ad83614650cf44c769189cb0e508ccacb33445ac4b7bfc0fb12df,5,,c1cc43adea236997997beb029945237f31daa18c0da45c29990f0e68dd98747c,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,273,15.84890909,1,0,0,0,92.86036115,0,15759,,0,0,6,70,335.3479143,0,0
50,56884401ed47caa5cdc90c6d217ba4ab37c8b3f6d490f4d6c0bbd40f1741fe7c,46,94401,187a8065ab1b00bafe5e4bae202215f7d25034435ef6067898669a1cf6c04517,4130a6d23ef2dc501a62d55fd553a4f45570394310e8b54f40417f1f2d78ca7b,5,,45b6cb170af96950ffd009b6275bb22f5f5b052687d2379ecfa65f72b079a97c,c6a68a6677409cd8b8e909a2b2766ed5f26668e98626314b558fa72276495fdc,317,29.70799318,1,0,0,0,140.8960265,,10300,,0,0,6,70,43.43050856,0,0
51,4bd7197a50ed87dc7238ddd3cc9995443131c3afa3a1141cafa9d4bc8770bce6,30,102330,fbd080c650a0cc6ecad360ea689f1929c6ff66a0fa0f3f56a01f504051533e5b,,5,1,e5ca93b2f594023de7781cca02aae2b00c678170ad1f76d5e37327ef80201a23,2fea345d14a69774026f3de93f5e3313219363d54e07b193b931debcea240e72,407,,0,0,0,,-261.3987378,0,15759,,,0,6,70,407.6003922,0,0
52,daefe32dc7e2fd06eb35e60b0c0ea937de5897191c76d3871f1a4210a93e1a07,20,,effeaed93b087303dcb777e0779d9565c16556e0d69a1c041f70bc420b887f5b,1d944f7f64d7a0eeea40a7560b1a31a7b30126479799bfab01dd038a97a3f199,5,8,,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,276,91.15002085,1,0,0,0,247.8099418,0,11380,,,0,1,70,,0,0
53,388a36d2d13b43b416198ec0b187dc52a58b4f5626a942a82001034df909843f,1,195724,d502a1020ea9a5fd1c1e9dbc512cb550a6fca9bb17e432a325e1d2034a8da3e1,04af1b2bb0999f3839518cdd5166af0d82278d9a18cf163ebdebdeb6745d49f1,5,5,876e36a7eff8a419a03ecd9019fa6a741658dfce4fb40317fd90df91524ad947,46f63555d29f177290dfe20e989146fb033e453f1d5ff3f27a7fd3741fb17484,232,,1,0,,0,487.7872678,0,16115,,0,0,6,70,324.6050351,0,0
54,,,200002,65a8c72b39d3268e2d706a44e064108d74aa8d3b6a96271aee1830a6ec4ff96e,c8b902d2b15f96bf0952643edf9c8a74ff837be8be872081a1574388e6cfb6e0,5,8,f5d3aebde78098e24d3e97c1e564ad8eee144f088dc22c0716add5a4db355c5c,bcf6370b700fb26d1fab05dad5de442b2bf37689cb55fd5fefcc78f2ebb16ec3,215,1008.641108,1,0,0,0,557.853191,,15759,,0,0,0,70,1205.359557,1,0
55,125536a001f1526d647b3290817a96f56e19db4a3554c61e3ede49e9413341a4,49,230655,f6765e6b46f8bb7825e383f7674fa0aafa7883fed1078a2077897e50592f36b4,,5,8,403bf357e4c594f6fea2d3e93205ad1a087da4e6ccb464e77a45a30763e43b3e,2188a06d2e03d40e85f41fc82360f7d0451d2414439fbe2dad64644fd82f4ccd,398,554.5138004,1,0,0,0,473.2086215,126,17148,,0,0,6,,-45.7763208,0,1
56,3f9ff5c904c736452355f8e2d5d86db7787071a33e5d503adecdbadffd82db75,,173929,dc6ca2b6d764e01547f75289d4a40759cdb81f9f131ba9e5cdec6f7ea44b9f0a,bc38231f16e66aa2359469046d9933e3d8581d9b4d6254654f05f78e4cae94de,,4,8c63d1a4f3e2e3755d1d379dfd862f8dfadaf9b9c28c5f45b9cca11e3c525e80,8f6b3ff512a001e0d1988c6cd888ef8c74112fb71117e53a39f611179497821d,320,,0,0,0,0,948.7559841,,15759,,0,0,6,70,872.4270301,0,0
57,238a2cf21c12ca1a72e20025cc11b068f96253281534fe28e663413422ef86f4,18,175615,6086febb18398de01eb759ab538777813f5a48115cfd1677c4868dff07c32bda,b6841431905e3375547c826a225a15ef51c5435c9e1e7be6a301d0c1c12f2de2,,4,344ca8e12a5b6f956c259d5f28afaa2039ebced6aa1b5b1c50c868252a9ee42a,2a608b081c09492bd2bc96d7def5371c4bc9cabf324a987defa5a213904a6c25,283,9913.666873,0,0,0,0,10505.44339,0,15809,,0,0,6,,10207.98507,0,0
58,19ee8a2f150310e62329207d817990601425bbf53fa78b0db6b927b32cdbc257,,154648,a68ba2240769fd2ee95fe369c0bac3479177d2cfb5a98a43b61196772ee78c5b,c3b1138caad84f8d7870e6d67b2db16cf4c63a9d1a688adfc83b996cba1609ff,5,1,a508ad831229339636ee54615e4d8d0fbe97a98664fd863e988e9e02ccc53031,bfbb5ca8870e18f9ce4ebf53a3908f71261c8221b857349aa8f32d79f1d8dda9,375,609.6109594,0,0,0,0,,0,15759,,0,0,6,70,15.29297201,0,0
